Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
118,tt0110057,2013-12-29,2013-12-29,,Hoop Dreams,https://www.imdb.com/title/tt0110057/,movie,8.3,170,1994,"Documentary, Drama, Sport",21126,1994-01-01,Steve James,,
119,tt1093824,2013-12-29,2013-12-29,,Encounters at the End of the World,https://www.imdb.com/title/tt1093824/,movie,7.8,99,2007,Documentary,15283,2007-09-01,Werner Herzog,,
120,tt2125653,2013-12-31,2013-12-31,,The House I Live In,https://www.imdb.com/title/tt2125653/,movie,7.9,108,2012,Documentary,4895,2012-01-21,Eugene Jarecki,,
121,tt0217505,2014-01-04,2014-01-04,,Gangs of New York,https://www.imdb.com/title/tt0217505/,movie,7.5,167,2002,"Crime, Drama",349201,2002-12-09,Martin Scorsese,,
122,tt0142688,2014-01-06,2014-01-06,,The Ninth Gate,https://www.imdb.com/title/tt0142688/,movie,6.7,133,1999,"Mystery, Thriller",147357,1999-08-25,Roman Polanski,,
123,tt1028532,2014-01-10,2014-01-10,,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/,movie,8.1,93,2009,"Drama, Family",197016,2009-06-13,Lasse Hallström,,
124,tt2132285,2014-01-12,2014-01-12,,The Bling Ring,https://www.imdb.com/title/tt2132285/,movie,5.6,90,2013,"Biography, Crime, Drama",74308,2013-05-16,Sofia Coppola,,
125,tt2545118,2014-01-13,2014-01-13,,Blackfish,https://www.imdb.com/title/tt2545118/,movie,8.1,83,2013,"Documentary, Drama",52718,2013-01-19,Gabriela Cowperthwaite,,
126,tt2064713,2014-01-14,2014-01-14,,A Band Called Death,https://www.imdb.com/title/tt2064713/,movie,7.5,96,2012,"Documentary, Biography, Music",3082,2012-06-16,"Mark Christopher Covino, Jeff Howlett",,
127,tt2366450,2014-01-15,2014-01-15,,Stories We Tell,https://www.imdb.com/title/tt2366450/,movie,7.6,108,2012,Documentary,10615,2012-08-30,Sarah Polley,,
128,tt2085910,2014-01-15,2014-01-15,,Room 237,https://www.imdb.com/title/tt2085910/,movie,6.2,102,2012,Documentary,18579,2012-01-23,Rodney Ascher,,
129,tt2130321,2014-01-15,2014-01-15,,West of Memphis,https://www.imdb.com/title/tt2130321/,movie,7.9,147,2012,"Documentary, Crime",8589,2012-01-21,Amy Berg,,
130,tt1277936,2014-01-15,2014-01-15,,Cropsey,https://www.imdb.com/title/tt1277936/,movie,6.4,84,2009,"Documentary, Crime, Horror, Mystery",6522,2009-04-25,"Barbara Brancaccio, Joshua Zeman",,
131,tt1151309,2014-01-16,2014-01-16,,Bigger Stronger Faster*,https://www.imdb.com/title/tt1151309/,movie,7.6,105,2008,"Documentary, Sport",12474,2008-01-19,Chris Bell,,
132,tt2492916,2014-01-17,2014-01-17,,Muscle Shoals,https://www.imdb.com/title/tt2492916/,movie,7.7,111,2013,"Documentary, Biography, History, Music",3077,2013-01-26,Greg 'Freddy' Camalier,,
133,tt2370248,2014-01-18,2014-01-18,,Short Term 12,https://www.imdb.com/title/tt2370248/,movie,8.0,96,2013,Drama,66669,2013-03-10,Destin Daniel Cretton,,
134,tt2296697,2014-01-18,2014-01-18,,Concussion,https://www.imdb.com/title/tt2296697/,movie,5.7,96,2013,Drama,3437,2013-01-19,Stacie Passon,,
135,tt2024544,2014-01-18,2014-01-18,,12 Years a Slave,https://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",525015,2013-08-30,Steve McQueen,,
136,tt1457767,2014-01-19,2014-01-19,,The Conjuring,https://www.imdb.com/title/tt1457767/,movie,7.5,112,2013,"Horror, Mystery, Thriller",354254,2013-06-08,James Wan,,
137,tt2088714,2014-01-19,2014-01-19,,Call Me Kuchu,https://www.imdb.com/title/tt2088714/,movie,7.6,87,2012,"Documentary, Drama",690,2012-02-11,"Malika Zouhali-Worrall, Katherine Fairfax Wright",,
138,tt1934269,2014-01-20,2014-01-20,,Yossi,https://www.imdb.com/title/tt1934269/,movie,7.0,84,2012,"Drama, Romance",2468,2012-04-19,Eytan Fox,,
